p,size of spine,size of center,size of graph,Fp vertices in center
8297,36,9,692,1
8311,61,4,693,0
8317,17,4,693,0
8329,40,4,694,0
8353,14,9,696,1
8363,70,14,698,0
8369,48,56,698,2
8377,24,4,698,0
8387,42,10,700,0
8389,45,4,699,0
8419,38,2,702,0
8423,83,8,703,0
8429,35,2,703,0
8431,59,7,703,1
8443,22,8,704,0
8447,99,8,705,0
8461,31,8,705,0
8467,30,10,706,0
8501,75,434,709,18
8513,30,10,710,0
8521,28,5,710,1
8527,43,5,711,1
8537,30,5,712,1
8539,34,2,712,0
8543,97,11,713,1
8563,18,2,714,0
8573,37,520,715,18
8581,31,12,715,0
8597,31,2,717,0
8599,63,2,717,0
8609,80,2,718,0
8623,51,528,719,22
8627,42,10,720,0
8629,31,10,719,0
8641,38,2,720,0
8647,31,20,721,0
8663,67,19,723,5
8669,59,4,723,0
8677,15,667,723,13
8681,52,6,724,0
8689,22,10,724,0
8693,51,417,725,11
8699,70,4,726,0
8707,30,1,726,1
8713,22,8,726,0
8719,53,12,727,0
8731,34,6,728,0
8737,18,521,728,5
8741,63,541,729,17
8747,42,4,730,0
8753,58,2,730,0
8761,26,8,730,0
8779,30,15,732,1
8783,73,513,733,43
8803,18,2,734,0
8807,81,10,735,0
8819,98,298,736,14
8821,23,2,735,0
8831,109,6,737,0
8837,39,6,737,0
8839,77,471,737,31
8849,58,2,738,0
8861,69,435,739,11
8863,29,1,739,1
8867,54,6,740,0
8887,43,7,741,3
8893,23,2,741,0
8923,38,449,744,9
8929,30,537,744,7
8933,35,2,745,0
8941,29,12,745,0
8951,135,6,747,0
8963,58,477,748,11
8969,42,2,748,0
8971,38,3,748,1
8999,99,594,751,34
9001,30,2,750,0
9007,35,2,751,0
9011,66,2,752,0
9013,15,6,751,0
9029,57,4,753,0
9041,42,554,754,16
9043,30,362,754,4
9049,36,617,754,9
9059,78,500,756,20
9067,18,534,756,4
9091,42,2,758,0
9103,57,574,759,24
9109,27,2,759,0
9127,57,477,761,19
9133,19,2,761,0
9137,28,4,762,0
9151,67,582,763,26
9157,13,519,763,5
9161,72,479,764,5
9173,47,4,765,0
9181,23,643,765,21
9187,42,4,766,0
9199,51,555,767,21
9203,62,469,768,15
9209,54,602,768,16
9221,49,529,769,17
9227,50,4,770,0
9239,139,435,771,25
9241,18,629,770,11
9257,60,493,772,19
9277,13,575,773,9
9281,80,437,774,13
9283,22,642,774,10
9293,25,1,775,1
9311,97,410,777,32
9319,41,1,777,1
9323,58,2,778,0
9337,26,2,778,0
9341,69,2,779,0
9343,51,492,779,24
9349,27,584,779,12
9371,98,442,782,10
9377,32,495,782,11
9391,55,458,783,20
9397,21,558,783,8
9403,22,580,784,8
9413,51,489,785,11
9419,70,531,786,17
9421,33,2,785,0
9431,91,522,787,38
9433,16,578,786,12
9437,45,576,787,18
9439,75,496,787,20
9461,57,612,789,18
9463,45,392,789,16
9467,82,379,790,7
9473,40,595,790,21
9479,101,569,791,43
9491,90,415,792,13
9497,36,579,792,13
9511,69,2,793,0
9521,64,525,794,17
9533,61,467,795,17
9539,110,265,796,7
9547,26,579,796,9
9551,129,472,797,16
9587,46,514,800,16
9601,24,517,800,11
9613,21,555,801,9
9619,38,583,802,11
9623,95,426,803,32
9629,55,488,803,10
9631,77,523,803,21
9643,22,390,804,10
9649,28,1,804,1
9661,19,534,805,12
9677,49,480,807,10
9679,71,397,807,17
9689,52,489,808,17
9697,20,597,808,11
9719,133,489,811,15
9721,46,540,810,10
9733,21,523,811,5
9739,26,644,812,10
9743,105,368,813,16
9749,81,2,813,0
9767,89,1,815,1
9769,26,489,814,15
9781,25,544,815,12
9787,22,466,816,4
9791,119,413,817,29
9803,74,353,818,9
9811,42,2,818,0
9817,24,368,818,4
9829,21,630,819,12
9833,52,442,820,8
9839,91,542,821,24
9851,90,502,822,10
9857,30,522,822,10
9859,42,414,822,6
9871,49,671,823,33
9883,34,555,824,9
9887,75,464,825,16
9901,31,461,825,9
9907,30,511,826,13
9923,50,361,828,7
9929,76,279,828,3
9931,46,606,828,16
9941,67,490,829,10
9949,25,693,829,19
9967,39,488,831,6
9973,23,2,831,0
10007,77,431,835,27
10009,48,427,834,7
10037,41,507,837,15
10039,69,453,837,5
10061,71,371,839,5
10067,42,599,840,15
10069,27,607,839,15
10079,135,260,841,6
10091,78,385,842,11
10093,21,446,841,2
10099,50,312,842,4
10103,51,532,843,30
10111,87,370,843,30
10133,31,485,845,15
10139,110,474,846,6
10141,49,521,845,11
10151,93,485,847,29
10159,57,473,847,23
10163,78,432,848,8
10169,56,439,848,7
10177,20,532,848,6
10181,75,339,849,5
10193,34,454,850,8
10211,86,255,852,11
10223,79,312,853,18
10243,30,526,854,16
10247,105,363,855,13
10253,55,440,855,4
10259,86,452,856,10
10267,30,384,856,6
10271,113,417,857,21
10273,22,456,856,6
10289,74,393,858,3
10301,49,2,859,0
10303,51,223,859,5
10313,40,408,860,8
10321,34,375,860,5
10331,110,259,862,5
10333,13,519,861,5
10337,48,376,862,6
10343,43,1,863,1
10357,27,498,863,4
10369,36,456,864,8
10391,153,367,867,9
10399,39,681,867,29
10427,62,395,870,21
10429,33,412,869,4
10433,48,430,870,2
10453,21,536,871,6
10457,54,463,872,5
10459,30,479,872,7
